t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  6.00000000e-01   1.60000000e+00  1.60000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  6.00000000e-01   1.60000000e+00  1.60000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  6.00000000e-01   1.60000000e+00  1.60000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  6.00000000e-01   3.60000000e+00  3.60000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  6.00000000e-01   3.60000000e+00  3.60000000e+00   4.44089210e-16
  5.00000000e+00   3.00000000e+00  6.00000000e-01   3.60000000e+00  3.60000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  6.00000000e-01   5.60000000e+00  5.60000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  6.00000000e-01   5.60000000e+00  5.60000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  6.00000000e-01   5.60000000e+00  5.60000000e+00   0.00000000e+00

t = 8.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  8.00000000e-01   1.80000000e+00  1.80000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  8.00000000e-01   1.80000000e+00  1.80000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  8.00000000e-01   1.80000000e+00  1.80000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  8.00000000e-01   3.80000000e+00  3.80000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  8.00000000e-01   3.80000000e+00  3.80000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  8.00000000e-01   3.80000000e+00  3.80000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  8.00000000e-01   5.80000000e+00  5.80000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  8.00000000e-01   5.80000000e+00  5.80000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  8.00000000e-01   5.80000000e+00  5.80000000e+00   0.00000000e+00

t = 1.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   4.44089210e-16
  5.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00

