t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.06400000e+00  3.06400000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.06400000e+00  3.06400000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.06400000e+00  3.06400000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  6.00000000e-01   1.21600000e+00  1.21600000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  6.00000000e-01   1.21600000e+00  1.21600000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  6.00000000e-01   1.21600000e+00  1.21600000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  6.00000000e-01   3.21600000e+00  3.21600000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  6.00000000e-01   3.22220690e+00  3.21600000e+00   6.20689655e-03
  5.00000000e+00   3.00000000e+00  6.00000000e-01   3.21600000e+00  3.21600000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  6.00000000e-01   5.21600000e+00  5.21600000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  6.00000000e-01   5.21600000e+00  5.21600000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  6.00000000e-01   5.21600000e+00  5.21600000e+00   0.00000000e+00

t = 8.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  8.00000000e-01   1.51200000e+00  1.51200000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  8.00000000e-01   1.51200000e+00  1.51200000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  8.00000000e-01   1.51200000e+00  1.51200000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  8.00000000e-01   3.51200000e+00  3.51200000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  8.00000000e-01   3.51762200e+00  3.51200000e+00   5.62199913e-03
  5.00000000e+00   3.00000000e+00  8.00000000e-01   3.51200000e+00  3.51200000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  8.00000000e-01   5.51200000e+00  5.51200000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  8.00000000e-01   5.51200000e+00  5.51200000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  8.00000000e-01   5.51200000e+00  5.51200000e+00   0.00000000e+00

t = 1.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e+00   4.00508108e+00  4.00000000e+00   5.08108228e-03
  5.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00

