t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00

t = 2.50000000e-02
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  5.00000000e+00   3.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.50000000e-02   9.99687516e-01  9.99687516e-01   0.00000000e+00

t = 5.00000000e-02
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750402e-01  9.98750260e-01   1.41501903e-07
  5.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00

t = 7.50000000e-02
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  7.50000000e-02   9.97189196e-01  9.97188818e-01   3.77655526e-07
  5.00000000e+00   3.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  7.50000000e-02   9.97188818e-01  9.97188818e-01   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   9.95004830e-01  9.95004165e-01   6.65194585e-07
  5.00000000e+00   3.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00

t = 1.25000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.25000000e-01   9.92198644e-01  9.92197667e-01   9.76610458e-07
  5.00000000e+00   3.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.25000000e-01   9.92197667e-01  9.92197667e-01   0.00000000e+00

t = 1.50000000e-01
       r                 z               t               u               u*              |u-u*|
