t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   1.00100000e+00  1.00100000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   1.00100000e+00  1.00100000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   1.00100000e+00  1.00100000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   3.00100000e+00  3.00100000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   3.00100000e+00  3.00100000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  1.00000000e-01   3.00100000e+00  3.00100000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   5.00100000e+00  5.00100000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   5.00100000e+00  5.00100000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   5.00100000e+00  5.00100000e+00   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   1.00800000e+00  1.00800000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   1.00800000e+00  1.00800000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   1.00800000e+00  1.00800000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   3.00800000e+00  3.00800000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   3.00885106e+00  3.00800000e+00   8.51063830e-04
  5.00000000e+00   3.00000000e+00  2.00000000e-01   3.00800000e+00  3.00800000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   5.00800000e+00  5.00800000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   5.00800000e+00  5.00800000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   5.00800000e+00  5.00800000e+00   0.00000000e+00

t = 3.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  3.00000000e-01   1.02700000e+00  1.02700000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  3.00000000e-01   1.02700000e+00  1.02700000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  3.00000000e-01   1.02700000e+00  1.02700000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  3.00000000e-01   3.02700000e+00  3.02700000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  3.00000000e-01   3.02821322e+00  3.02700000e+00   1.21321865e-03
  5.00000000e+00   3.00000000e+00  3.00000000e-01   3.02700000e+00  3.02700000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  3.00000000e-01   5.02700000e+00  5.02700000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  3.00000000e-01   5.02700000e+00  5.02700000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  3.00000000e-01   5.02700000e+00  5.02700000e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.06400000e+00  1.06400000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.06400000e+00  3.06400000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.06527679e+00  3.06400000e+00   1.27678838e-03
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.06400000e+00  3.06400000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.06400000e+00  5.06400000e+00   0.00000000e+00

t = 5.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-01   1.12500000e+00  1.12500000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-01   1.12500000e+00  1.12500000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-01   1.12500000e+00  1.12500000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-01   3.12500000e+00  3.12500000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-01   3.12626531e+00  3.12500000e+00   1.26531222e-03
  5.00000000e+00   3.00000000e+00  5.00000000e-01   3.12500000e+00  3.12500000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-01   5.12500000e+00  5.12500000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-01   5.12500000e+00  5.12500000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-01   5.12500000e+00  5.12500000e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
