t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   3.00000000e+00  3.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   5.00000000e+00  5.00000000e+00   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   1.10000000e+00  1.10000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   1.10000000e+00  1.10000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   1.10000000e+00  1.10000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   3.10000000e+00  3.10000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   3.10000000e+00  3.10000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  1.00000000e-01   3.10000000e+00  3.10000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   5.10000000e+00  5.10000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   5.10000000e+00  5.10000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   5.10000000e+00  5.10000000e+00   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   1.20000000e+00  1.20000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   1.20000000e+00  1.20000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   1.20000000e+00  1.20000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   3.20000000e+00  3.20000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   3.20000000e+00  3.20000000e+00   4.44089210e-16
  5.00000000e+00   3.00000000e+00  2.00000000e-01   3.20000000e+00  3.20000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   5.20000000e+00  5.20000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   5.20000000e+00  5.20000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   5.20000000e+00  5.20000000e+00   0.00000000e+00

t = 3.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  3.00000000e-01   1.30000000e+00  1.30000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  3.00000000e-01   1.30000000e+00  1.30000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  3.00000000e-01   1.30000000e+00  1.30000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  3.00000000e-01   3.30000000e+00  3.30000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  3.00000000e-01   3.30000000e+00  3.30000000e+00   4.44089210e-16
  5.00000000e+00   3.00000000e+00  3.00000000e-01   3.30000000e+00  3.30000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  3.00000000e-01   5.30000000e+00  5.30000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  3.00000000e-01   5.30000000e+00  5.30000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  3.00000000e-01   5.30000000e+00  5.30000000e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.40000000e+00  1.40000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.40000000e+00  3.40000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.40000000e+00  5.40000000e+00   0.00000000e+00

t = 5.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-01   1.50000000e+00  1.50000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-01   1.50000000e+00  1.50000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-01   1.50000000e+00  1.50000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-01   3.50000000e+00  3.50000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-01   3.50000000e+00  3.50000000e+00   8.88178420e-16
  5.00000000e+00   3.00000000e+00  5.00000000e-01   3.50000000e+00  3.50000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-01   5.50000000e+00  5.50000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-01   5.50000000e+00  5.50000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-01   5.50000000e+00  5.50000000e+00   0.00000000e+00

t = 6.00000000e-01
       r                 z               t               u               u*              |u-u*|
