t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   3.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  0.00000000e+00   1.00000000e+00  1.00000000e+00   0.00000000e+00

t = 5.00000000e-02
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  5.00000000e+00   3.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-02   9.98750260e-01  9.98750260e-01   0.00000000e+00

t = 1.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e-01   9.95005844e-01  9.95004165e-01   1.67873584e-06
  5.00000000e+00   3.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e-01   9.95004165e-01  9.95004165e-01   0.00000000e+00

t = 1.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.50000000e-01   9.88775178e-01  9.88771078e-01   4.10036559e-06
  5.00000000e+00   3.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.50000000e-01   9.88771078e-01  9.88771078e-01   0.00000000e+00

t = 2.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.00000000e-01   9.80073301e-01  9.80066578e-01   6.72297618e-06
  5.00000000e+00   3.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.00000000e-01   9.80066578e-01  9.80066578e-01   0.00000000e+00

t = 2.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  3.00000000e+00   1.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  5.00000000e+00   1.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  1.00000000e+00   3.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  3.00000000e+00   3.00000000e+00  2.50000000e-01   9.68921766e-01  9.68912422e-01   9.34456165e-06
  5.00000000e+00   3.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  1.00000000e+00   5.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  3.00000000e+00   5.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00
  5.00000000e+00   5.00000000e+00  2.50000000e-01   9.68912422e-01  9.68912422e-01   0.00000000e+00

t = 3.00000000e-01
       r                 z               t               u               u*              |u-u*|
