t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  3.00000000e-01   1.00810000e+00  1.00810000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  3.00000000e-01   1.00810000e+00  1.00810000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  3.00000000e-01   1.00810000e+00  1.00810000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  3.00000000e-01   3.00810000e+00  3.00810000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  3.00000000e-01   3.00838883e+00  3.00810000e+00   2.88831400e-04
  5.00000000e+00   3.00000000e+00  3.00000000e-01   3.00810000e+00  3.00810000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  3.00000000e-01   5.00810000e+00  5.00810000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  3.00000000e-01   5.00810000e+00  5.00810000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  3.00000000e-01   5.00810000e+00  5.00810000e+00   0.00000000e+00

t = 3.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  3.50000000e-01   1.01500625e+00  1.01500625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  3.50000000e-01   1.01500625e+00  1.01500625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  3.50000000e-01   1.01500625e+00  1.01500625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  3.50000000e-01   3.01500625e+00  3.01500625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  3.50000000e-01   3.01535781e+00  3.01500625e+00   3.51556566e-04
  5.00000000e+00   3.00000000e+00  3.50000000e-01   3.01500625e+00  3.01500625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  3.50000000e-01   5.01500625e+00  5.01500625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  3.50000000e-01   5.01500625e+00  5.01500625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  3.50000000e-01   5.01500625e+00  5.01500625e+00   0.00000000e+00

t = 4.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.00000000e-01   1.02560000e+00  1.02560000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.00000000e-01   1.02560000e+00  1.02560000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.00000000e-01   1.02560000e+00  1.02560000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.00000000e-01   3.02560000e+00  3.02560000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.00000000e-01   3.02601410e+00  3.02560000e+00   4.14095946e-04
  5.00000000e+00   3.00000000e+00  4.00000000e-01   3.02560000e+00  3.02560000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.00000000e-01   5.02560000e+00  5.02560000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.00000000e-01   5.02560000e+00  5.02560000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.00000000e-01   5.02560000e+00  5.02560000e+00   0.00000000e+00

t = 4.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  4.50000000e-01   1.04100625e+00  1.04100625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  4.50000000e-01   1.04100625e+00  1.04100625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  4.50000000e-01   1.04100625e+00  1.04100625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  4.50000000e-01   3.04100625e+00  3.04100625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  4.50000000e-01   3.04148284e+00  3.04100625e+00   4.76585035e-04
  5.00000000e+00   3.00000000e+00  4.50000000e-01   3.04100625e+00  3.04100625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  4.50000000e-01   5.04100625e+00  5.04100625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  4.50000000e-01   5.04100625e+00  5.04100625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  4.50000000e-01   5.04100625e+00  5.04100625e+00   0.00000000e+00

t = 5.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.00000000e-01   1.06250000e+00  1.06250000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.00000000e-01   1.06250000e+00  1.06250000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.00000000e-01   1.06250000e+00  1.06250000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.00000000e-01   3.06250000e+00  3.06250000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.00000000e-01   3.06303907e+00  3.06250000e+00   5.39071644e-04
  5.00000000e+00   3.00000000e+00  5.00000000e-01   3.06250000e+00  3.06250000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.00000000e-01   5.06250000e+00  5.06250000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.00000000e-01   5.06250000e+00  5.06250000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  5.00000000e-01   5.06250000e+00  5.06250000e+00   0.00000000e+00

t = 5.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  5.50000000e-01   1.09150625e+00  1.09150625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  5.50000000e-01   1.09150625e+00  1.09150625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  5.50000000e-01   1.09150625e+00  1.09150625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  5.50000000e-01   3.09150625e+00  3.09150625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  5.50000000e-01   3.09210781e+00  3.09150625e+00   6.01564765e-04
  5.00000000e+00   3.00000000e+00  5.50000000e-01   3.09150625e+00  3.09150625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  5.50000000e-01   5.09150625e+00  5.09150625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  5.50000000e-01   5.09150625e+00  5.09150625e+00   0.00000000e+00
